Scan results for 127.0.0.1
Port 219 --> Closed
Port 230 --> Closed
Port 235 --> Closed
Port 237 --> Closed
Port 233 --> Closed
Port 248 --> Closed
Port 239 --> Closed
Port 243 --> Closed
Port 220 --> Closed
Port 247 --> Closed
Port 250 --> Closed
Port 251 --> Closed
Port 244 --> Closed
Port 245 --> Closed
Port 249 --> Closed
Port 256 --> Closed
Port 252 --> Closed
Port 246 --> Closed
Port 258 --> Closed
Port 253 --> Closed
Port 254 --> Closed
Port 264 --> Closed
Port 261 --> Closed
Port 242 --> Closed
Port 265 --> Closed
Port 257 --> Closed
Port 266 --> Closed
Port 260 --> Closed
Port 263 --> Closed
Port 231 --> Closed
Port 259 --> Closed
Port 255 --> Closed
Port 274 --> Closed
Port 272 --> Closed
Port 267 --> Closed
Port 271 --> Closed
Port 276 --> Closed
Port 268 --> Closed
Port 273 --> Closed
Port 262 --> Closed
Port 278 --> Closed
Port 269 --> Closed
Port 275 --> Closed
Port 277 --> Closed
Port 279 --> Closed
Port 283 --> Closed
Port 284 --> Closed
Port 288 --> Closed
Port 287 --> Closed
Port 270 --> Closed
Port 282 --> Closed
Port 291 --> Closed
Port 280 --> Closed
Port 308 --> Closed
Port 290 --> Closed
Port 293 --> Closed
Port 286 --> Closed
Port 301 --> Closed
Port 289 --> Closed
Port 302 --> Closed
Port 316 --> Closed
Port 304 --> Closed
Port 294 --> Closed
Port 306 --> Closed
Port 296 --> Closed
Port 295 --> Closed
Port 311 --> Closed
Port 318 --> Closed
Port 313 --> Closed
Port 299 --> Closed
Port 281 --> Closed
Port 307 --> Closed
Port 309 --> Closed
Port 322 --> Closed
Port 310 --> Closed
Port 317 --> Closed
Port 303 --> Closed
Port 315 --> Closed
Port 320 --> Closed
Port 323 --> Closed
Port 305 --> Closed
Port 324 --> Closed
Port 300 --> Closed
Port 285 --> Closed
Port 298 --> Closed
Port 312 --> Closed
Port 326 --> Closed
Port 314 --> Closed
Port 319 --> Closed
Port 321 --> Closed
Port 325 --> Closed
Port 297 --> Closed
Port 292 --> Closed
Port 327 --> Closed
Port 329 --> Closed
Port 330 --> Closed
Port 328 --> Closed
Port 331 --> Closed
Port 332 --> Closed
Port 334 --> Closed
Port 333 --> Closed
Port 337 --> Closed
Port 338 --> Closed
Port 335 --> Closed
Port 336 --> Closed
Port 340 --> Closed
Port 341 --> Closed
Port 344 --> Closed
Port 339 --> Closed
Port 343 --> Closed
Port 351 --> Closed
Port 349 --> Closed
Port 348 --> Closed
Port 347 --> Closed
Port 342 --> Closed
Port 345 --> Closed
Port 353 --> Closed
Port 354 --> Closed
Port 358 --> Closed
Port 355 --> Closed
Port 356 --> Closed
Port 359 --> Closed
Port 375 --> Closed
Port 352 --> Closed
Port 346 --> Closed
Port 362 --> Closed
Port 372 --> Closed
Port 364 --> Closed
Port 371 --> Closed
Port 374 --> Closed
Port 370 --> Closed
Port 368 --> Closed
Port 373 --> Closed
Port 377 --> Closed
Port 378 --> Closed
Port 350 --> Closed
Port 380 --> Closed
Port 381 --> Closed
Port 379 --> Closed
Port 366 --> Closed
Port 382 --> Closed
Port 390 --> Closed
Port 383 --> Closed
Port 385 --> Closed
Port 386 --> Closed
Port 369 --> Closed
Port 388 --> Closed
Port 392 --> Closed
Port 357 --> Closed
Port 391 --> Closed
Port 361 --> Closed
Port 394 --> Closed
Port 384 --> Closed
Port 387 --> Closed
Port 397 --> Closed
Port 393 --> Closed
Port 400 --> Closed
Port 363 --> Closed
Port 398 --> Closed
Port 365 --> Closed
Port 402 --> Closed
Port 360 --> Closed
Port 406 --> Closed
Port 410 --> Closed
Port 404 --> Closed
Port 408 --> Closed
Port 407 --> Closed
Port 412 --> Closed
Port 376 --> Closed
Port 396 --> Closed
Port 395 --> Closed
Port 403 --> Closed
Port 415 --> Closed
Port 405 --> Closed
Port 389 --> Closed
Port 417 --> Closed
Port 419 --> Closed
Port 411 --> Closed
Port 426 --> Closed
Port 367 --> Closed
Port 442 --> Closed
Port 421 --> Closed
Port 429 --> Closed
Port 428 --> Closed
Port 431 --> Closed
Port 427 --> Closed
Port 416 --> Closed
Port 418 --> Closed
Port 436 --> Closed
Port 437 --> Closed
Port 438 --> Closed
Port 401 --> Closed
Port 441 --> Closed
Port 413 --> Closed
Port 414 --> Closed
Port 425 --> Closed
Port 430 --> Closed
Port 399 --> Closed
Port 422 --> Closed
Port 446 --> Closed
Port 432 --> Closed
Port 439 --> Closed
Port 420 --> Closed
Port 424 --> Closed
Port 450 --> Closed
Port 443 --> Closed
Port 456 --> Closed
Port 453 --> Closed
Port 444 --> Closed
Port 460 --> Closed
Port 457 --> Closed
Port 461 --> Closed
Port 445 --> Closed
Port 434 --> Closed
Port 462 --> Closed
Port 449 --> Closed
Port 465 --> Closed
Port 463 --> Closed
Port 468 --> Closed
Port 466 --> Closed
Port 451 --> Closed
Port 471 --> Closed
Port 472 --> Closed
Port 474 --> Closed
Port 455 --> Closed
Port 477 --> Closed
Port 440 --> Closed
Port 475 --> Closed
Port 479 --> Closed
Port 409 --> Closed
Port 481 --> Closed
Port 458 --> Closed
Port 483 --> Closed
Port 447 --> Closed
Port 464 --> Closed
Port 486 --> Closed
Port 448 --> Closed
Port 488 --> Closed
Port 489 --> Closed
Port 452 --> Closed
Port 485 --> Closed
Port 491 --> Closed
Port 476 --> Closed
Port 493 --> Closed
Port 459 --> Closed
Port 497 --> Closed
Port 454 --> Closed
Port 435 --> Closed
Port 498 --> Closed
Port 501 --> Closed
Port 500 --> Closed
Port 433 --> Closed
Port 469 --> Closed
Port 470 --> Closed
Port 504 --> Closed
Port 507 --> Closed
Port 467 --> Closed
Port 473 --> Closed
Port 423 --> Closed
Port 492 --> Closed
Port 512 --> Closed
Port 511 --> Closed
Port 513 --> Closed
Port 496 --> Closed
Port 482 --> Closed
Port 518 --> Closed
Port 517 --> Closed
Port 515 --> Closed
Port 503 --> Closed
Port 519 --> Closed
Port 520 --> Closed
Port 487 --> Closed
Port 510 --> Closed
Port 525 --> Closed
Port 521 --> Closed
Port 523 --> Closed
Port 478 --> Closed
Port 551 --> Closed
Port 529 --> Closed
Port 514 --> Closed
Port 530 --> Closed
Port 480 --> Closed
Port 555 --> Closed
Port 535 --> Closed
Port 502 --> Closed
Port 522 --> Closed
Port 506 --> Closed
Port 526 --> Closed
Port 539 --> Closed
Port 544 --> Closed
Port 534 --> Closed
Port 545 --> Closed
Port 548 --> Closed
Port 547 --> Closed
Port 549 --> Closed
Port 546 --> Closed
Port 527 --> Closed
Port 495 --> Closed
Port 499 --> Closed
Port 536 --> Closed
Port 532 --> Closed
Port 531 --> Closed
Port 537 --> Closed
Port 533 --> Closed
Port 508 --> Closed
Port 553 --> Closed
Port 558 --> Closed
Port 557 --> Closed
Port 556 --> Closed
Port 559 --> Closed
Port 543 --> Closed
Port 566 --> Closed
Port 564 --> Closed
Port 565 --> Closed
Port 552 --> Closed
Port 569 --> Closed
Port 554 --> Closed
Port 484 --> Closed
Port 570 --> Closed
Port 540 --> Closed
Port 541 --> Closed
Port 538 --> Closed
Port 574 --> Closed
Port 550 --> Closed
Port 592 --> Closed
Port 579 --> Closed
Port 578 --> Closed
Port 561 --> Closed
Port 580 --> Closed
Port 562 --> Closed
Port 581 --> Closed
Port 516 --> Closed
Port 576 --> Closed
Port 505 --> Closed
Port 572 --> Closed
Port 573 --> Closed
Port 571 --> Closed
Port 490 --> Closed
Port 585 --> Closed
Port 589 --> Closed
Port 588 --> Closed
Port 590 --> Closed
Port 591 --> Closed
Port 494 --> Closed
Port 509 --> Closed
Port 595 --> Closed
Port 568 --> Closed
Port 609 --> Closed
Port 613 --> Closed
Port 583 --> Closed
Port 600 --> Closed
Port 601 --> Closed
Port 575 --> Closed
Port 603 --> Closed
Port 560 --> Closed
Port 604 --> Closed
Port 563 --> Closed
Port 605 --> Closed
Port 607 --> Closed
Port 611 --> Closed
Port 594 --> Closed
Port 610 --> Closed
Port 582 --> Closed
Port 599 --> Closed
Port 615 --> Closed
Port 617 --> Closed
Port 614 --> Closed
Port 586 --> Closed
Port 587 --> Closed
Port 542 --> Closed
Port 621 --> Closed
Port 602 --> Closed
Port 624 --> Closed
Port 623 --> Closed
Port 622 --> Closed
Port 524 --> Closed
Port 608 --> Closed
Port 606 --> Closed
Port 649 --> Closed
Port 627 --> Closed
Port 567 --> Closed
Port 632 --> Closed
Port 598 --> Closed
Port 584 --> Closed
Port 633 --> Closed
Port 639 --> Closed
Port 618 --> Closed
Port 616 --> Closed
Port 637 --> Closed
Port 644 --> Closed
Port 640 --> Closed
Port 642 --> Closed
Port 645 --> Closed
Port 577 --> Closed
Port 625 --> Closed
Port 593 --> Closed
Port 650 --> Closed
Port 628 --> Closed
Port 629 --> Closed
Port 630 --> Closed
Port 652 --> Closed
Port 631 --> OPEN
Port 654 --> Closed
Port 641 --> Closed
Port 636 --> Closed
Port 655 --> Closed
Port 643 --> Closed
Port 646 --> Closed
Port 626 --> Closed
Port 657 --> Closed
Port 648 --> Closed
Port 663 --> Closed
Port 665 --> Closed
Port 528 --> Closed
Port 660 --> Closed
Port 596 --> Closed
Port 634 --> Closed
Port 667 --> Closed
Port 668 --> Closed
Port 619 --> Closed
Port 670 --> Closed
Port 671 --> Closed
Port 673 --> Closed
Port 674 --> Closed
Port 675 --> Closed
Port 659 --> Closed
Port 677 --> Closed
Port 661 --> Closed
Port 679 --> Closed
Port 681 --> Closed
Port 662 --> Closed
Port 597 --> Closed
Port 701 --> Closed
Port 686 --> Closed
Port 684 --> Closed
Port 638 --> Closed
Port 635 --> Closed
Port 620 --> Closed
Port 703 --> Closed
Port 687 --> Closed
Port 647 --> Closed
Port 690 --> Closed
Port 676 --> Closed
Port 693 --> Closed
Port 692 --> Closed
Port 680 --> Closed
Port 678 --> Closed
Port 698 --> Closed
Port 651 --> Closed
Port 612 --> Closed
Port 682 --> Closed
Port 672 --> Closed
Port 669 --> Closed
Port 656 --> Closed
Port 702 --> Closed
Port 688 --> Closed
Port 689 --> Closed
Port 664 --> Closed
Port 694 --> Closed
Port 696 --> Closed
Port 709 --> Closed
Port 705 --> Closed
Port 712 --> Closed
Port 700 --> Closed
Port 722 --> Closed
Port 713 --> Closed
Port 715 --> Closed
Port 653 --> Closed
Port 716 --> Closed
Port 718 --> Closed
Port 732 --> Closed
Port 733 --> Closed
Port 735 --> Closed
Port 736 --> Closed
Port 697 --> Closed
Port 683 --> Closed
Port 666 --> Closed
Port 726 --> Closed
Port 714 --> Closed
Port 727 --> Closed
Port 717 --> Closed
Port 685 --> Closed
Port 707 --> Closed
Port 706 --> Closed
Port 721 --> Closed
Port 731 --> Closed
Port 711 --> Closed
Port 710 --> Closed
Port 720 --> Closed
Port 658 --> Closed
Port 738 --> Closed
Port 699 --> Closed
Port 728 --> Closed
Port 758 --> Closed
Port 704 --> Closed
Port 743 --> Closed
Port 708 --> Closed
Port 734 --> Closed
Port 695 --> Closed
Port 745 --> Closed
Port 748 --> Closed
Port 747 --> Closed
Port 751 --> Closed
Port 750 --> Closed
Port 719 --> Closed
Port 752 --> Closed
Port 754 --> Closed
Port 756 --> Closed
Port 757 --> Closed
Port 741 --> Closed
Port 759 --> Closed
Port 730 --> Closed
Port 744 --> Closed
Port 746 --> Closed
Port 749 --> Closed
Port 739 --> Closed
Port 753 --> Closed
Port 755 --> Closed
Port 724 --> Closed
Port 725 --> Closed
Port 763 --> Closed
Port 742 --> Closed
Port 767 --> Closed
Port 729 --> Closed
Port 765 --> Closed
Port 770 --> Closed
Port 772 --> Closed
Port 723 --> Closed
Port 762 --> Closed
Port 761 --> Closed
Port 740 --> Closed
Port 775 --> Closed
Port 764 --> Closed
Port 766 --> Closed
Port 778 --> Closed
Port 737 --> Closed
Port 779 --> Closed
Port 769 --> Closed
Port 783 --> Closed
Port 784 --> Closed
Port 773 --> Closed
Port 776 --> Closed
Port 760 --> Closed
Port 691 --> Closed
Port 777 --> Closed
Port 768 --> Closed
Port 793 --> Closed
Port 782 --> Closed
Port 790 --> Closed
Port 791 --> Closed
Port 795 --> Closed
Port 794 --> Closed
Port 796 --> Closed
Port 798 --> Closed
Port 786 --> Closed
Port 792 --> Closed
Port 801 --> Closed
Port 781 --> Closed
Port 788 --> Closed
Port 774 --> Closed
Port 785 --> Closed
Port 804 --> Closed
Port 805 --> Closed
Port 800 --> Closed
Port 808 --> Closed
Port 811 --> Closed
Port 799 --> Closed
Port 803 --> Closed
Port 771 --> Closed
Port 802 --> Closed
Port 815 --> Closed
Port 797 --> Closed
Port 780 --> Closed
Port 807 --> Closed
Port 810 --> Closed
Port 816 --> Closed
Port 789 --> Closed
Port 812 --> Closed
Port 820 --> Closed
Port 821 --> Closed
Port 822 --> Closed
Port 823 --> Closed
Port 825 --> Closed
Port 826 --> Closed
Port 827 --> Closed
Port 843 --> Closed
Port 809 --> Closed
Port 842 --> Closed
Port 834 --> Closed
Port 813 --> Closed
Port 814 --> Closed
Port 787 --> Closed
Port 824 --> Closed
Port 835 --> Closed
Port 832 --> Closed
Port 818 --> Closed
Port 855 --> Closed
Port 840 --> Closed
Port 830 --> Closed
Port 819 --> Closed
Port 845 --> Closed
Port 848 --> Closed
Port 831 --> Closed
Port 836 --> Closed
Port 806 --> Closed
Port 841 --> Closed
Port 851 --> Closed
Port 853 --> Closed
Port 844 --> Closed
Port 846 --> Closed
Port 829 --> Closed
Port 837 --> Closed
Port 854 --> Closed
Port 858 --> Closed
Port 828 --> Closed
Port 864 --> Closed
Port 833 --> Closed
Port 838 --> Closed
Port 879 --> Closed
Port 865 --> Closed
Port 866 --> Closed
Port 839 --> Closed
Port 856 --> Closed
Port 871 --> Closed
Port 860 --> Closed
Port 872 --> Closed
Port 873 --> Closed
Port 862 --> Closed
Port 893 --> Closed
Port 882 --> Closed
Port 875 --> Closed
Port 817 --> Closed
Port 878 --> Closed
Port 883 --> Closed
Port 869 --> Closed
Port 885 --> Closed
Port 884 --> Closed
Port 857 --> Closed
Port 886 --> Closed
Port 874 --> Closed
Port 890 --> Closed
Port 892 --> Closed
Port 850 --> Closed
Port 861 --> Closed
Port 877 --> Closed
Port 849 --> Closed
Port 894 --> Closed
Port 880 --> Closed
Port 899 --> Closed
Port 898 --> Closed
Port 900 --> Closed
Port 902 --> Closed
Port 847 --> Closed
Port 859 --> Closed
Port 887 --> Closed
Port 907 --> Closed
Port 889 --> Closed
Port 908 --> Closed
Port 912 --> Closed
Port 911 --> Closed
Port 895 --> Closed
Port 852 --> Closed
Port 863 --> Closed
Port 868 --> Closed
Port 917 --> Closed
Port 867 --> Closed
Port 916 --> Closed
Port 897 --> Closed
Port 901 --> Closed
Port 919 --> Closed
Port 881 --> Closed
Port 905 --> Closed
Port 921 --> Closed
Port 940 --> Closed
Port 910 --> Closed
Port 888 --> Closed
Port 944 --> Closed
Port 891 --> Closed
Port 914 --> Closed
Port 947 --> Closed
Port 929 --> Closed
Port 930 --> Closed
Port 870 --> Closed
Port 920 --> Closed
Port 935 --> Closed
Port 934 --> Closed
Port 904 --> Closed
Port 939 --> Closed
Port 923 --> Closed
Port 925 --> Closed
Port 941 --> Closed
Port 943 --> Closed
Port 927 --> Closed
Port 965 --> Closed
Port 928 --> Closed
Port 931 --> Closed
Port 949 --> Closed
Port 913 --> Closed
Port 918 --> Closed
Port 951 --> Closed
Port 953 --> Closed
Port 933 --> Closed
Port 954 --> Closed
Port 936 --> Closed
Port 956 --> Closed
Port 922 --> Closed
Port 909 --> Closed
Port 958 --> Closed
Port 942 --> Closed
Port 979 --> Closed
Port 938 --> Closed
Port 945 --> Closed
Port 961 --> Closed
Port 964 --> Closed
Port 948 --> Closed
Port 967 --> Closed
Port 932 --> Closed
Port 876 --> Closed
Port 981 --> Closed
Port 970 --> Closed
Port 952 --> Closed
Port 903 --> Closed
Port 973 --> Closed
Port 896 --> Closed
Port 957 --> Closed
Port 987 --> Closed
Port 960 --> Closed
Port 955 --> Closed
Port 924 --> Closed
Port 963 --> Closed
Port 991 --> Closed
Port 968 --> Closed
Port 926 --> Closed
Port 966 --> Closed
Port 980 --> Closed
Port 972 --> Closed
Port 983 --> Closed
Port 984 --> Closed
Port 937 --> Closed
Port 989 --> Closed
Port 974 --> Closed
Port 962 --> Closed
Port 986 --> Closed
Port 969 --> Closed
Port 950 --> Closed
Port 993 --> Closed
Port 946 --> Closed
Port 976 --> Closed
Port 992 --> Closed
Port 995 --> Closed
Port 998 --> Closed
Port 999 --> Closed
Port 1002 --> Closed
Port 978 --> Closed
Port 1000 --> Closed
Port 996 --> Closed
Port 990 --> Closed
Port 1001 --> Closed
Port 915 --> Closed
Port 1008 --> Closed
Port 1022 --> Closed
Port 971 --> Closed
Port 1010 --> Closed
Port 1013 --> Closed
Port 975 --> Closed
Port 1012 --> Closed
Port 977 --> Closed
Port 988 --> Closed
Port 1020 --> Closed
Port 959 --> Closed
Port 1018 --> Closed
Port 982 --> Closed
Port 1006 --> Closed
Port 906 --> Closed
Port 1017 --> Closed
Port 1009 --> Closed
Port 997 --> Closed
Port 1024 --> Closed
Port 1007 --> Closed
Port 1016 --> Closed
Port 1005 --> Closed
Port 1021 --> Closed
Port 1023 --> Closed
Port 1011 --> Closed
Port 1004 --> Closed
Port 1014 --> Closed
Port 1019 --> Closed
Port 985 --> Closed
Port 1003 --> Closed
Port 994 --> Closed
Port 1015 --> Closed

 Scan complete in 0.31 seconds
